name,url,ingredients
Calvados Fruit Cup (Difford's Cup No.13),https://www.diffordsguide.com/cocktails/recipe/4215/calvados-fruit-cup-diffords-cup-no13,"['Calvados apple brandy', 'Orange Curaçao', 'Rosso/sweet vermouth', 'Aromatic bitters', 'Ginger ale', 'Cola']"
Ferrobaldi Cocktail,https://www.diffordsguide.com/cocktails/recipe/4398/ferrobaldi-cocktail,"['Ferro China', 'Orange juice']"
Iron Negroni,https://www.diffordsguide.com/cocktails/recipe/4599/iron-negroni,"['Gin', 'Ferro China', 'Rosso/sweet vermouth']"
Prescription Julep,https://www.diffordsguide.com/cocktails/recipe/4629/prescription-julep,"['Mint leaves', 'Cognac (brandy)', 'Rye whiskey 50% abv', 'Brown sugar syrup', 'Orange bitters']"
Triple Daiquiri,https://www.diffordsguide.com/cocktails/recipe/4809/triple-daiquiri,"['Light gold rum 1-3yo', 'Caribbean rum 3-5yo', 'Cachaça', 'Lime juice', 'Powdered sugar', 'Daiquiri bitters']"
The Dante,https://www.diffordsguide.com/cocktails/recipe/4868/the-dante,"['Blanco tequila', 'Chartreuse Green', 'Kummel liqueur', 'Sugar syrup (2:1)', 'Lime juice']"
One Sip Martini,https://www.diffordsguide.com/cocktails/recipe/5001/one-sip-martini,"['Vodka', 'Ambrato vermouth', 'Fino sherry']"
Daiquiri No. 1 (6:2:1 formula),https://www.diffordsguide.com/cocktails/recipe/5020/daiquiri-no-1-621-formula,"['Light gold rum 1-3yo', 'Lime juice', 'Sugar syrup (2:1)', 'Daiquiri bitters']"
Saketini,https://www.diffordsguide.com/cocktails/recipe/5155/saketini,"['Vodka', 'Sake', 'Dry vermouth', 'Gin', 'Saline solution 4:1']"
Californian Margarita,https://www.diffordsguide.com/cocktails/recipe/5390/californian-margarita,"['Blanco tequila', 'Cointreau/Triple sec', 'Lemon juice', 'Falernum liqueur', 'Agave syrup', 'Saline solution 4:1']"
Sabot,https://www.diffordsguide.com/cocktails/recipe/7670/sabot,"['Gin', 'Cointreau/Triple sec', 'Lemon juice', 'Sugar syrup (2:1)', 'Egg white (pasteurised)', 'Brut sparkling wine']"
Tequila Martini,https://www.diffordsguide.com/cocktails/recipe/10055/tequila-martini,"['Blanco tequila', 'Bianco/blanc/blanco vermouth', 'Margarita Bitters']"
Mezcal Dante,https://www.diffordsguide.com/cocktails/recipe/12052/mezcal-dante,"['Basil leaves', 'Mezcal', 'Blanco tequila', 'Chartreuse Green', 'Kummel liqueur', 'Agave syrup', 'Lime juice']"
